,Cluster_ID,Index,Title,Authors,DOI,Abstract
0,0,0,"Optimizing the Safe Washout Period for Liver Transplantation Following Immune Checkpoint Inhibitors with Atezolizumab, Nivolumab, or Pembrolizumab","Kuo, FC; Chen, CY; Lin, NC; Liu, CS; Hsia, CY; Loong, CC",10.1016/j.transproceed.2023.03.064,"Background. Using immune checkpoint inhibitors (ICIs) as a downstaging therapy for liver transplantation (LT) has improved outcomes for patients with advanced hepatocellular carcinoma (HCC). However, this therapy carries a risk of post-transplant graft rejection. The washout (WO) period between the last ICI dose and LT seems critical in preventing postoperative rejection. This study aimed to optimize the WO period by balancing tumor burden suppression and rejec-tion prevention using ICIs before LT.Methods. We reviewed published case reports or series from March 2020 to December 2022 regarding LT for HCC after downstaging or bridge therapy with ICIs and included 4 of our cases. Most patients received atezolizumab, nivolumab, or pembrolizumab; these ICIs shared a half-life of around 28 days. Therefore, we excluded cases without definite WO period data and those using non-atezolizumab/nivolumab/pembrolizumab ICIs and ultimately enrolled 22 patients for analysis. We compared their clinical outcomes and estimated the rejection-free survival for every 0.5 half-life interval.Results. Most study subjects received nivolumab (n = 25). Six patients had severe rejections (nivolumab group, n = 5) and needed rescue management. Of the 6 cases, 1 patient died after rejection, and 2 underwent re-transplantation. The median WO period in these 6 patients was 22 days (IQR: 9-35 days). In addition, we found that a 1.5 half-life (42 days) was the shortest safe WO period associated with significant rejection-free survival (P = .005).Conclusions. Our results showed that 42 days was the safest WO period before LT for HCC after ICI with atezolizumab, nivolumab, or pembrolizumab."
1,0,196,"Optimizing the Safe Washout Period for Liver Transplantation Following Immune Checkpoint Inhibitors with Atezolizumab, Nivolumab, or Pembrolizumab.",Kuo FC; Chen CY; Lin NC; Liu C; Hsia CY; Loong CC,10.1016/j.transproceed.2023.03.064,"BACKGROUND: Using immune checkpoint inhibitors (ICIs) as a downstaging therapy for liver transplantation (LT) has improved outcomes for patients with advanced hepatocellular carcinoma (HCC). However, this therapy carries a risk of post-transplant graft rejection. The washout (WO) period between the last ICI dose and LT seems critical in preventing postoperative rejection. This study aimed to optimize the WO period by balancing tumor burden suppression and rejection prevention using ICIs before LT. METHODS: We reviewed published case reports or series from March 2020 to December 2022 regarding LT for HCC after downstaging or bridge therapy with ICIs and included 4 of our cases. Most patients received atezolizumab, nivolumab, or pembrolizumab; these ICIs shared a half-life of around 28 days. Therefore, we excluded cases without definite WO period data and those using non-atezolizumab/nivolumab/pembrolizumab ICIs and ultimately enrolled 22 patients for analysis. We compared their clinical outcomes and estimated the rejection-free survival for every 0.5 half-life interval. RESULTS: Most study subjects received nivolumab (n = 25). Six patients had severe rejections (nivolumab group, n = 5) and needed rescue management. Of the 6 cases, 1 patient died after rejection, and 2 underwent re-transplantation. The median WO period in these 6 patients was 22 days (IQR: 9-35 days). In addition, we found that a 1.5 half-life (42 days) was the shortest safe WO period associated with significant rejection-free survival (P = .005). CONCLUSIONS: Our results showed that 42 days was the safest WO period before LT for HCC after ICI with atezolizumab, nivolumab, or pembrolizumab."
2,2,2,Liver Transplantation for Hepatocellular Carcinoma in the Era of Immune Checkpoint Inhibitors,"De Stefano, N; Patrono, D; Colli, F; Rizza, G; Paraluppi, G; Romagnoli, R",10.3390/cancers16132374,"Simple Summary Immune checkpoint inhibitors (ICIs) have witnessed significant success in systemic therapy of hepatocellular carcinoma, stimulating the transplant community to consider their use in the liver transplantation (LT) setting. This review provides an updated overview of the current evidence on ICI therapy before and after LT, discussing the associated pitfalls and remaining challenges. A particular focus is placed on the interactions between ICIs and immunosuppressive drugs, in order to identify predictive factors of good response, as well as critical aspects that should guide future research on the topic.Abstract Hepatocellular carcinoma (HCC) remains the leading oncological indication for liver transplantation (LT), with evolving and broadened inclusion criteria. Immune checkpoint inhibitors (ICIs) gained a central role in systemic HCC treatment and showed potential in the peri-transplant setting as downstaging/bridging therapy before LT or as a treatment for HCC recurrence following LT. However, the antagonistic mechanisms of action between ICIs and immunosuppressive drugs pose significant challenges, particularly regarding the risk of acute rejection (AR). This review analyzes the main signaling pathways targeted by ICI therapies and summarizes current studies on ICI therapy before and after LT. The literature on this topic is limited and highly heterogeneous, precluding definitive evidence-based conclusions. The use of ICIs before LT appears promising, provided that a sufficient wash-out period is implemented. In contrast, the results of post-LT ICI therapy do not support its wide clinical application due to high AR rates and overall poor response to treatment. In the future, modern graft preservation techniques might support the selection of good ICI responders, but data from high-level studies are urgently needed."
3,2,162,Liver Transplantation for Hepatocellular Carcinoma in the Era of Immune Checkpoint Inhibitors.,De Stefano N; Patrono D; Colli F; Rizza G; Paraluppi G; Romagnoli R,10.3390/cancers16132374,"Hepatocellular carcinoma (HCC) remains the leading oncological indication for liver transplantation (LT), with evolving and broadened inclusion criteria. Immune checkpoint inhibitors (ICIs) gained a central role in systemic HCC treatment and showed potential in the peri-transplant setting as downstaging/bridging therapy before LT or as a treatment for HCC recurrence following LT. However, the antagonistic mechanisms of action between ICIs and immunosuppressive drugs pose significant challenges, particularly regarding the risk of acute rejection (AR). This review analyzes the main signaling pathways targeted by ICI therapies and summarizes current studies on ICI therapy before and after LT. The literature on this topic is limited and highly heterogeneous, precluding definitive evidence-based conclusions. The use of ICIs before LT appears promising, provided that a sufficient wash-out period is implemented. In contrast, the results of post-LT ICI therapy do not support its wide clinical application due to high AR rates and overall poor response to treatment. In the future, modern graft preservation techniques might support the selection of good ICI responders, but data from high-level studies are urgently needed."
4,3,3,"Treatment Strategy for Intermediate-Stage Hepatocellular Carcinoma: Transarterial Chemoembolization, Systemic Therapy, and Conversion Therapy","Hatanaka, T; Yata, Y; Naganuma, A; Kakizaki, S",10.3390/cancers15061798,"Simple Summary Systemic therapy for advanced-stage hepatocellular carcinoma (HCC) is undergoing major changes owing to the advancements made in molecular-targeted therapies and immune checkpoint inhibitors (ICIs). Although transarterial chemoembolization has been used as the standard treatment for intermediate-stage HCC, it has recently included molecular-targeted drugs and ICIs. As intermediate-stage HCC encompasses a wide variety of HCCs, the appropriate regimen to be used and the order of drug administration, including the use of anti-angiogenic inhibitors, remain controversial. This review discusses treatment strategies for intermediate-stage HCC considering the background of progress in the treatment of advanced-stage HCC. Transarterial chemoembolization (TACE) has been standard treatment for intermediate-stage hepatocellular carcinoma (HCC). However, all intermediate-stage HCC patients did not benefit from TACE treatment because intermediate-stage HCC encompasses a wide variety of HCCs. Owing to remarkable progress in systemic therapy, including molecular-targeted therapy for advanced-stage HCC, the standard treatment of HCC has recently shifted to systemic therapy. However, it remains controversial as to which treatment should be initially performed for intermediate-stage HCC. In addition, although curative treatment can be considered when the tumor shrinks, the timing of conversion therapy remains uncertain. This review summarizes the advances of HCC treatment and discusses treatment strategies for intermediate-stage HCC."
5,3,158,"Treatment Strategy for Intermediate-Stage Hepatocellular Carcinoma: Transarterial Chemoembolization, Systemic Therapy, and Conversion Therapy.",Hatanaka T; Yata Y; Naganuma A; Kakizaki S,10.3390/cancers15061798,"Transarterial chemoembolization (TACE) has been standard treatment for intermediate-stage hepatocellular carcinoma (HCC). However, all intermediate-stage HCC patients did not benefit from TACE treatment because intermediate-stage HCC encompasses a wide variety of HCCs. Owing to remarkable progress in systemic therapy, including molecular-targeted therapy for advanced-stage HCC, the standard treatment of HCC has recently shifted to systemic therapy. However, it remains controversial as to which treatment should be initially performed for intermediate-stage HCC. In addition, although curative treatment can be considered when the tumor shrinks, the timing of conversion therapy remains uncertain. This review summarizes the advances of HCC treatment and discusses treatment strategies for intermediate-stage HCC."
6,4,4,Immune Checkpoint Inhibitors in the Pre-Transplant Hepatocellular Carcinoma Setting: A Glimpse Beyond the Liver,"Marzi, L; Mega, A; Turri, C; Gitto, S; Ferro, F; Spizzo, G",10.3390/ijms252111676,"Hepatocellular carcinoma (HCC) is the most common primary liver cancer and the third leading cause of cancer-related death worldwide. Liver transplantation (LT) is the best therapy for most patients with non-metastatic HCC. In recent years, the management of patients with HCC has considerably changed, thanks to the improvement of molecular biology knowledge and the introduction of immunotherapy. To date, systemic therapy is authorized in the Western world only in patients with advanced HCC. However, this therapy could not only stabilize the tumour disease or improve survival but could display excellent response and lead to downstaging of the tumour that finally permits LT. There are increasing reports of patients that have performed LT after pretreatment with immune checkpoint inhibitors (ICIs). However, due to the intrinsic mechanism of ICIs, graft rejection might be favoured. In addition, chronic adverse effects affecting other organs may also appear after the end of therapy. This review aims to evaluate the readiness and outcomes of LT in patients with advanced HCC who have previously undergone treatment with ICIs. It seeks to identify the challenges, risks, and benefits associated with this conversion therapy. The integration of ICIs into the treatment paradigm for advanced HCC necessitates a nuanced approach to LT. While early evidence supports the feasibility of LT following ICIs therapy, there is an urgent need for standardized guidelines and more extensive longitudinal studies to optimize patient selection, timing, and post-transplant management."
7,4,167,Immune Checkpoint Inhibitors in the Pre-Transplant Hepatocellular Carcinoma Setting: A Glimpse Beyond the Liver.,Marzi L; Mega A; Turri C; Gitto S; Ferro F; Spizzo G,10.3390/ijms252111676,"Hepatocellular carcinoma (HCC) is the most common primary liver cancer and the third leading cause of cancer-related death worldwide. Liver transplantation (LT) is the best therapy for most patients with non-metastatic HCC. In recent years, the management of patients with HCC has considerably changed, thanks to the improvement of molecular biology knowledge and the introduction of immunotherapy. To date, systemic therapy is authorized in the Western world only in patients with advanced HCC. However, this therapy could not only stabilize the tumour disease or improve survival but could display excellent response and lead to downstaging of the tumour that finally permits LT. There are increasing reports of patients that have performed LT after pretreatment with immune checkpoint inhibitors (ICIs). However, due to the intrinsic mechanism of ICIs, graft rejection might be favoured. In addition, chronic adverse effects affecting other organs may also appear after the end of therapy. This review aims to evaluate the readiness and outcomes of LT in patients with advanced HCC who have previously undergone treatment with ICIs. It seeks to identify the challenges, risks, and benefits associated with this conversion therapy. The integration of ICIs into the treatment paradigm for advanced HCC necessitates a nuanced approach to LT. While early evidence supports the feasibility of LT following ICIs therapy, there is an urgent need for standardized guidelines and more extensive longitudinal studies to optimize patient selection, timing, and post-transplant management."
8,5,5,Immunotherapy for transplantation of hepatocellular carcinoma: the next frontier in adjunctive therapy,"Tabrizian, P; Zeitlhoefler, M; Hassan, AT; Marino, R",10.1097/MOT.0000000000001133,"Purpose of reviewThe increasing success of liver transplantation in hepatocellular carcinoma (HCC) drives an ever-evolving search for innovative strategies to broaden eligible patients' pools. Recent advances in immuno-oncology have turned the spotlight on immune checkpoint inhibitors (ICIs). This review offers an updated overview of ICIs in liver transplantation for HCC, exploring neoadjuvant and adjuvant approaches and addressing unanswered questions on safety, patients' selection, and response predictors.Recent findingsICIs have transitioned from being a last-chance therapeutic hope to becoming an integral cornerstone in the treatment of advanced HCC, holding great promise as a compelling option not only to downstage patients for transplantation but also as an alternative strategy in addressing posttransplantation disease recurrence. Despite ongoing refinements in immunotherapeutic agents, the complex molecular pathways involved emphasize the need for a comprehensive approach to integrate immunotherapy in liver transplantation.SummaryInitial concerns about graft rejection, with ICIs as a bridging therapy to liver transplantation, were successfully addressed using adequate immunosuppressants strategies and minimized with a sufficient washout period. Post-liver transplantation disease recurrence remains challenging, requiring a balance between effective therapy and preserving graft function. Emphasis should be placed on clinical trials validating the risk-benefit ratio of ICIs for liver transplantation, guiding appropriate patients' selection, and establishing clear management pathways."
9,5,150,Immunotherapy for transplantation of hepatocellular carcinoma: the next frontier in adjunctive therapy.,Tabrizian P; Zeitlhoefler M; Hassan AT; Marino R,10.1097/MOT.0000000000001133,"PURPOSE OF REVIEW: The increasing success of liver transplantation in hepatocellular carcinoma (HCC) drives an ever-evolving search for innovative strategies to broaden eligible patients' pools. Recent advances in immuno-oncology have turned the spotlight on immune checkpoint inhibitors (ICIs). This review offers an updated overview of ICIs in liver transplantation for HCC, exploring neoadjuvant and adjuvant approaches and addressing unanswered questions on safety, patients' selection, and response predictors. RECENT FINDINGS: ICIs have transitioned from being a last-chance therapeutic hope to becoming an integral cornerstone in the treatment of advanced HCC, holding great promise as a compelling option not only to downstage patients for transplantation but also as an alternative strategy in addressing posttransplantation disease recurrence. Despite ongoing refinements in immunotherapeutic agents, the complex molecular pathways involved emphasize the need for a comprehensive approach to integrate immunotherapy in liver transplantation. SUMMARY: Initial concerns about graft rejection, with ICIs as a bridging therapy to liver transplantation, were successfully addressed using adequate immunosuppressants strategies and minimized with a sufficient washout period. Post-liver transplantation disease recurrence remains challenging, requiring a balance between effective therapy and preserving graft function. Emphasis should be placed on clinical trials validating the risk-benefit ratio of ICIs for liver transplantation, guiding appropriate patients' selection, and establishing clear management pathways."
