Index,Title,Abstract,DOI,Authors
0,The molecular mechanisms between metabolic syndrome and breast cancer,"Metabolic syndrome, which is extremely common in developed and some developing countries, is a clustering of at least three of five of the following medical conditions: abdominal obesity, elevated blood pressure, elevated fasting plasma glucose, high serum triglycerides, and low high-density lipoprotein levels. It has been proved that there is a strong association between metabolic syndrome and breast cancer. Metabolic syndrome could increase the risk of breast cancer and influence the prognosis of the breast cancer patients. Some characteristic of metabolic syndrome such as obesity and lack of physical exercise are all risk factors for developing breast cancer. The metabolic syndrome mainly include obesity, type 2 diabetes, hypercholesterolemia and nonalcoholic fatty liver disease, and each of them impacts the risk of breast cancer and the prognosis of the breast cancer patients in different ways. In this Review, we focus on recently uncovered aspects of the immunological and molecular mechanisms that are responsible for the development of this highly prevalent and serious disease. These studies bring new insight into the complex associations between metabolic syndrome and breast cancer and have led to the development of novel therapeutic strategies that might enable a personalized approach in the management of this disease. (C) 2016 Elsevier Inc. All rights reserved.",10.1016/j.bbrc.2016.02.034,"Chen, Y; Wen, YY; Li, ZR; Luo, DL; Zhang, XH"
1,Non-alcoholic fatty liver disease promotes breast cancer progression through upregulated hepatic fibroblast growth factor 21,"Non-alcoholic fatty liver disease (NAFLD) has been shown to influence breast cancer progression, but the underlying mechanisms remain unclear. In this study, we investigated the impact of NAFLD on breast cancer tumor growth and cell viability through the potential mediator, hepatic fibroblast growth factor 21 (FGF21). Both peritumoral and systemic administration of FGF21 promoted breast cancer tumor growth, while FGF21 knockout attenuated the tumor-promoting effects of the high-fat diet. Mechanistically, exogenous FGF21 treatment enhanced the anti-apoptotic ability of breast cancer cells through STAT3 and Akt/FoXO1 signaling pathways, and mitigated doxorubicin-induced cell death. Furthermore, we observed overexpression of FGF21 in tumor tissues from breast cancer patients, which was associated with poor prognosis. These findings suggest a novel role for FGF21 as an upregulated mediator in the context of NAFLD, promoting breast cancer development and highlighting its potential as a therapeutic target for cancer treatment.",10.1038/s41419-023-06386-8,"Sui, Y; Liu, QQ; Xu, C; Ganesan, K; Ye, Z; Li, Y; Wu, JM; Du, B; Gao, F; Song, CL; Chen, JP"
2,Underlying nonalcoholic fatty liver disease is a significant factor for breast cancer recurrence after curative surgery,"Breast cancer is the most common cancer among women worldwide, and it is a main cause of death in women. As with breast cancer, metabolic components are important risk factors for the development of nonalcoholic fatty liver disease (NAFLD). In this retrospective cohort study, we aimed to determine the prevalence of NAFLD in patients with breast cancer and the impact of NAFLD on the prognosis of breast cancer. Patients with breast cancer were enrolled in the study from January 2007 to June 2017. Hepatic steatosis was evaluated through non-enhanced computed tomography scan by measuring Hounsfield Units in the liver and spleen, respectively; 123 healthy controls who underwent non-enhanced computed tomography scan were also analyzed. The prevalence of NAFLD in patients with breast cancer was 15.8% (251/1587), which was significantly higher than in healthy controls (8.9%, 11/123) (P=.036). Overall survival did not significantly differ between the groups with and without NAFLD (P=.304). However, recurrence-free survival was significantly higher in patients without NAFLD than in those with NAFLD (P=.009). Among breast cancer patients receiving endocrine treatment, the NAFLD group showed a higher cumulative incidence of significant liver injury than the group without NAFLD (P<.001). The prevalence of NAFLD in patients with breast cancer is significantly higher than in healthy controls. Moreover, breast cancer patients with NAFLD showed poorer prognosis in terms of recurrence. Therefore, diagnostic evaluation for NALFD is important in managing patients with breast cancer.",10.1097/MD.0000000000017277,"Lee, YS; Lee, HS; Chang, SW; Lee, CU; Kim, JS; Jung, YK; Kim, JH; Seo, YS; Yim, HJ; Lee, CH; Woo, SU; Seo, JH; Yeon, JE; Um, SH; Byun, KS"
3,"Comorbidities and Malignancy among NAFLD Patients Compared to the General Population, A Nation-Based Study","(1) Background: Non-alcoholic fatty liver disease (NAFLD) is a common liver disease. Aims: We aimed to investigate the frequency of comorbidities and malignancies among NAFLD patients compared to the general population. (2) Methods: A retrospective study included adult patients with a NAFLD diagnosis. A control group was matched for age and gender. Demographics, comorbidities, malignancies, and mortality were collected and compared. (3) Results: 211,955 NAFLD patients were analyzed in comparison to 452,012 matched general population controls. Significantly higher rates of diabetes mellitus (23.2% vs. 13.3%), obesity (58.8% vs. 27.8%), hypertension (57.2% vs. 39.9%), chronic ischemic heart disease (24.7% vs. 17.3%), and CVA (3.2% vs. 2.8%) were found among NAFLD patients. Patients with NAFLD had significantly higher rates of the following malignancies: prostate cancer (1.6% vs. 1.2%), breast cancer (2.6% vs. 1.9%), colorectal cancer (1.8% vs. 1.4%), uterine cancer (0.4 vs. 0.2%), kidney cancer (0.8% vs. 0.5%), but a lower rate of lung cancer (0.9% vs. 1.2%) and stomach cancer (0.3% vs. 0.4%). The all-cause mortality rate among NAFLD patients was significantly lower in comparison to the general population (10.8% vs. 14.7%, p < 0.001). (4) Conclusions: Higher rates of comorbidities and malignancies among NAFLD patients were observed, but a lower rate of all-cause mortality was found.",10.3390/biomedicines11041110,"Abu-Freha, N; Cohen, B; Gordon, M; Weissmann, S; Fich, A; Munteanu, D; Yardeni, D; Etzion, O"
4,Tamoxifen induces fatty liver disease in breast cancer through the MAPK8/FoxO pathway,"Background Prevention of metabolic complications of long-term adjuvant endocrine therapy in breast cancers remained a challenge. We aimed to investigate the molecular mechanism in the development of tamoxifen (TAM)-induced fatty liver in both estrogen receptor (ER)-positive and ER-negative breast cancer. Methods and results First, the direct protein targets (DPTs) of TAM were identified using DrugBank5.1.7. We found that mitogen-activated protein kinase 8 (MAPK8) was one DPT of TAM. We identified significant genes in breast cancer and fatty liver disease (FLD) using the MalaCards human disease database. Next, we analyzed the Kyoto Encyclopedia of Genes and Genomes (KEGG) pathways of those significant genes in breast cancer and FLD using the Search Tool for the Retrieval of Interacting Genes/Proteins (STRING). We found that overlapping KEGG pathways in these two diseases were MAPK signaling pathway, Forkhead box O (FoxO) signaling pathway, HIF-1 signaling pathway, AGE-RAGE signaling pathway in diabetic complications, and PI3K-Akt signaling pathway. Furthermore, the KEGG Mapper showed that the MAPK signaling pathway was related to the FoxO signaling pathway. Finally, the functional relevance of breast cancer and TAM-induced FLD was validated by Western blot analysis. We verified that TAM may induce fatty liver in breast cancer through the MAPK8/FoxO signaling pathway. Conclusion Bioinformatics analysis combined with conventional experiments may improve our understanding of the molecular mechanisms underlying side effects of cancer drugs, thereby making this method a new paradigm for guiding future studies on this issue.",10.1002/ctm2.5,"Gong, LY; Tang, HM; Luo, ZZ; Sun, X; Tan, XY; Xie, LN; Lei, YTT; Cai, MJ; He, CC; Ma, JL; Han, SX"
5,Relationship between Non-Alcoholic Fatty Liver Disease and Breast Cancer,"Background: Non-alcoholic fatty liver disease (NAFLD) is a chronic liver disease which refers to the presence of hepatic steatosis. Breast cancer is now the most common cancer in women and is the leading cause of death from cancer among women. Objectives: To assess the relationship between NAFLD and newly diagnosed cases of breast cancer. Methods: The results of mammography screening examinations in women referred to the Breast Center, Holy Family Hospital, Nazareth during a 4 year period were collected. We identified cases of women who were newly diagnosed with breast cancer and who underwent abdominal computed tomography (CT) within 1 month of the diagnosis. The control group comprised women with normal mammography and breast ultrasonography who underwent abdominal CT within 3 months from the date of the breast cancer screening during the same study period. The control cases were matched by age and body mass index (BMI). We compared the cases with the controls in terms of the presence of diffuse hepatic fatty liver and other known risk factors for breast cancer. Results: Of the 133 women with new diagnosis of cancer, 73 were eligible for the study. NAFLD was found in 33 of the women with breast cancer and in 12 in the control group (45.2% vs.16.4%, respectively, P = 0.002). Multivariate analysis showed NAFLD (odds ratio 2.82, 95% confidence interval 1.2-5.5, P = 0.016) to be associated with breast cancer. Conclusions: NAFLD is associated with breast cancer.",,"Nseir, W; Abu-Rahmeh, Z; Tsipis, A; Mograbi, J; Mahamid, M"
6,TMED family genes and their roles in human diseases,"The members of the transmembrane emp24 domain-containing protein (TMED) family are summarized in human as four subfamilies, alpha (TMED 4, 9), beta (TMED 2), gamma (TMED1, 3, 5, 6, 7) and delta (TMED 10), with a total of nine members, which are important regulators of intracellular protein transport and are involved in normal embryonic development, as well as in the pathogenic processes of many human diseases. Here we systematically review the composition, structure and function of TMED family members, and describe the progress of TMED family in human diseases, including malignancies (head and neck tumors, lung cancer, breast cancer, ovarian cancer, endometrial cancer, gastrointestinal tumors, urological tumors, osteosarcomas, etc.), immune responses, diabetes, neurodegenerative diseases, and nonalcoholic fatty liver disease, dilated cardiomyopathy, mucin 1 nephropathy (MKD), and desiccation syndrome (SS). Finally, we discuss and prospect the potential of TMED for disease prognosis prediction and therapeutic targeting, with a view to laying the foundation for therapeutic research based on TMED family causative genes.",10.7150/ijms.87272,"Zhou, L; Li, HX; Yao, H; Dai, XL; Gao, P; Cheng, HW"
7,Assessment of hepatic steatosis on contrast enhanced computed tomography in patients with colorectal cancer,"Aims: Non-alcoholic fatty liver disease is often seen in patients with colorectal cancer. Insulin resistance and metabolic syndrome are related to increased risk of colorectal cancer. The aim of this study was to quantitatively determine the relationship between non-alcoholic fatty liver disease and colorectal cancer with the examination of routine abdominopelvic computed tomography images taken for staging. Methods: A retrospective evaluation was made of the colonoscopy and histopathology reports of 1630 patients who presented for a scanning or diagnostic colonoscopy examination. Colorectal cancer was determined histopathologically in 129 cases. Colorectal cancer patients with distant metastasis or additional malignancies were excluded from the study. A total of 105 patients met the criteria and were included in the study. A control group was formed of 94 patients with no history of cancer. The liver density on abdominopelvic computed tomography and serum transaminase values were recorded for the patients and compared with those of the control group. Results: The groups were similar in respect of age, gender and aspartate aminotransferase levels. Although not statistically significant, the alanine aminotransferase levels of the patient group were high compared to the control group. The liver density on computed tomography was statistically significantly lower in the patient group than in the control group. Conclusion: The liver density measurement on contrast abdominopelvic computed tomography of colorectal cancer patients was low, which is consistent with non-alcoholic fatty liver disease.",,"Aktas, E; Uzman, M; Yildirim, O; Sahin, B; Buyukcam, F; Aktas, B; Yilmaz, B; Yildirim, AM; Basyigit, S; Yeniova, O; Kefeli, A; Aribas, BK"
8,Obesity and nonalcoholic fatty liver disease associated with adenocarcinoma in patients with lung cancer,"Lung cancer has become the leading cause of cancer-related deaths around the world. In addition to genetic risk factors and smoking, the metabolic risk factors remain to be elusive. To evaluate the associations between obesity, nonalcoholic fatty liver disease (NAFLD) and pulmonary adenocarcinoma in patients with lung cancer. Consecutive operation-proven lung cancer patients with assessment of metabolic disorders and liver ultrasound in 2009 and 2013 were retrospectively enrolled. T-test and multivariate logistic regression were applied to evaluate the contribution of individual factors to lung adenocarcinoma, as well as the synergistic effects between these factors. Among 3664 lung cancer patients with ultrasound examination, 2844 cases were enrolled for further analysis. Of them, 1053 (37.0%) were females, 1242 (43.7%) were cigarette smokers, 1658 (58.3%) were diagnosed as lung adenocarcinoma, 744 (26.2%) had obesity, and 614 (21.6%) had NAFLD. Proportion of female gender, nonsmoker, obesity, NAFLD, and serum lipid levels in patients with adenocarcinoma were significantly higher than those in other subtypes of lung cancer, and in 2013 than in 2009 (all P<.01). NAFLD and obesity were shown as independent factors and positively associated with pulmonary adenocarcinoma, along with female gender and nonsmoking, higher serum levels of cholesterol. NAFLD and other contributing factors exhibited no synergistic effects on adenocarcinoma. Obesity and NAFLD might increase the risk for pulmonary adenocarcinoma, especially in nonsmoking females, and underscore the need for further study into carcinogenic mechanisms and preventive interventions.",10.1097/MD.0000000000017098,"Zhu, CY; Qu, JC; Cao, HX; Chen, GY; Shi, YH; Fan, JG"
9,"Development of a risk-stratification scoring system for predicting risk of breast cancer based on non-alcoholic fatty liver disease, non-alcoholic fatty pancreas disease, and uric acid","Many breast cancer patients have both non-alcoholic fatty liver disease (NAFLD) and non-alcoholic fatty pancreas disease (NAFPD). Consequently, we hypothesized that NAFPD and NAFLD were associated with breast cancer, and aimed to build a novel risk-stratification scoring system based on it. In this study, a total of 961 patients with breast cancer and 1,006 non-cancer patients were recruited. The clinical characteristics were collected and analyzed using logistic analysis. Risk factors were assessed by a risk rating system. Univariate analysis showed that body mass index, triglyceride, total cholesterol, NAFLD, NAFPD, low-density lipoprotein, and uric acid (UA) were significantly related to breast cancer. Among them, NAFLD, NAFPD, and UA were independent risk factors related to breast cancer identified by multivariate analysis. The risk assessment model was established based on these factors and demonstrated that the odds ratio sharply increased with the rising scores. Compared with the low-risk group, the odds ratio in the intermediate- and high-risk groups were 1.662 (1.380-2.001) and 3.185 (2.145-4.728), respectively. In conclusion, the risk-stratification scoring system combining NAFLD, NAFPD, and UA can accurately predict the occurrence of breast cancer.",10.1515/med-2022-0462,"Hong, CT; Yan, YH; Su, LY; Chen, DB; Zhang, CQ"
