Index,A_P,A_I,A_C,A_O,A_S,A_Decision,A_Reason
0,patients with advanced hepatocellular carcinoma,immune checkpoint inhibitors as downstaging therapy,not specified,rejection-free survival related to washout period,not a randomized controlled trial,False,does not meet study design criteria
1,not specified,immune checkpoint inhibitors for hepatocellular carcinoma,not specified or comparison to standard treatments,graft rejection rates and response to ICIs,"review of case reports, not a randomized controlled trial",False,does not meet study design criteria
2,not specified,immune checkpoint inhibitors in hepatocellular carcinoma,not specified,not specified,"not a randomized controlled trial, review article",False,does not meet study design criteria
3,patients with intermediate-stage hepatocellular carcinoma,immune checkpoint inhibitors and other therapies,not specified,not specified,"not a randomized controlled trial, review article",False,does not meet study design criteria
4,patients with advanced hepatocellular carcinoma,immune checkpoint inhibitors before liver transplantation,not specified,challenges and outcomes of LT after ICIs,"not a randomized controlled trial, review article",False,does not meet study design criteria
5,patients with hepatocellular carcinoma,immune checkpoint inhibitors in liver transplantation,not specified,not specified,not specified,False,does not specify a comparison group or study design
6,patients who underwent liver transplantation,immune checkpoint inhibitors pre and post-transplant,comparison of outcomes with and without ICIs,not specified,retrospective chart review,False,not a randomized controlled trial
7,patients with hepatocellular carcinoma,immune checkpoint inhibitors-based combination therapy,not specified,not specified,not specified,False,does not specify a comparison group or study design
8,patient with multifocal hepatocellular carcinoma,atezolizumab plus bevacizumab,not specified,successful downstaging for liver transplantation,case report,False,not a randomized controlled trial
9,patient with metastatic hepatocellular carcinoma,regorafenib,not specified,tumor downstaging,not specified,False,does not involve ICIs or randomized controlled trial
10,patients with hepatocellular carcinoma,immune checkpoint inhibitors,not specified,not specified,not specified,False,"lacks comparison, outcome, and study design details"
11,patients with hepatitis B virus-related HCC,immune checkpoint inhibitors,not specified,not specified,not specified,False,"lacks comparison, outcome, and study design details"
12,not specified,immune checkpoint inhibitors and anti-angiogenic therapy,not specified,not specified,not specified,False,"lacks population, comparison, outcome, and study design details"
13,patients with advanced or TACE-unsuitable intermediate-stage HCC,immune checkpoint inhibitors,compared with HAIC treatment,survival outcomes,retrospective analysis,False,study design is not a randomized controlled trial
14,not specified,immune checkpoint inhibitors,not specified,not specified,not specified,False,"lacks population, comparison, outcome, and study design details"
15,patients with unresectable hepatocellular carcinoma,combined TKI and anti-PD-1 antibodies,not specified,tumor response rates and resectability,not randomized controlled trial,False,does not meet study design criteria
16,patients with hepatocellular carcinoma,immune checkpoint inhibitors,not specified,not specified,not specified,False,abstract discusses immunotherapy without trial data
17,patients with Barcelona Clinic Liver Cancer stage B unresectable HCC,transarterial chemoembolization with atezolizumab and bevacizumab,not specified,improved therapeutic outcomes and survival,not randomized controlled trial,False,does not meet study design criteria
18,patients with unresectable hepatocellular carcinoma,atezolizumab and bevacizumab combination therapy,not specified,cancer-free status and predictive factors,not randomized controlled trial,False,does not meet study design criteria
19,patients with initially unresectable hepatocellular carcinoma,various conversion therapies including ICIs,comparison of different treatment groups,conversion to surgery rate and overall survival,systematic review of trials,False,not a specific randomized controlled trial
20,patients with hepatocellular carcinoma,immune checkpoint inhibitors,not specified,not specified,not specified,False,does not specify comparison or study design
21,patients with hepatocellular carcinoma and portal vein tumor thrombosis,triple therapy with immune checkpoint inhibitors,dual therapy without ICIs,overall survival and progression-free survival,meta-analysis of cohort studies,False,not a randomized controlled trial
22,patients with unresectable hepatocellular carcinoma,various systemic therapies including ICIs,not specified,not specified,not specified,False,does not specify comparison or study design
23,patients with resectable hepatocellular carcinoma,neoadjuvant treatment with atezolizumab and bevacizumab,surgery alone or orthotopic liver transplant,response and downstaging,not specified,False,does not specify randomized controlled trial design
24,patients with primary liver cancer,immune checkpoint inhibitors,not specified,not specified,not specified,False,does not specify comparison or study design
25,patients with unresectable hepatocellular carcinoma,lenvatinib and atezolizumab + bevacizumab,compared with chemotherapy alone,overall survival rate,retrospective multicenter study,False,not a randomized controlled trial
26,patients with hepatocellular carcinoma and extrahepatic metastases,TKIs and anti-PD-1 antibodies with local regional therapy,not specified,not specified,not specified,False,lacks a control comparison and specific outcomes
27,patients with advanced hepatocellular carcinoma,conversion therapies for advanced HCC,not specified,not specified,review article,False,not a randomized controlled trial and lacks specific outcomes
29,patients with initially unresectable hepatocellular carcinoma,triple combination conversion therapy involving ICIs,compared with pure hepatectomy,overall survival and recurrence-free survival,retrospective study with propensity score matching,False,not a randomized controlled trial
28,not applicable,not applicable,not applicable,not applicable,not applicable,False,Abstract too short or empty
