Index,C_Decision,C_Reason
0,False,No disagreement between Model A and B
1,False,No disagreement between Model A and B
2,False,No disagreement between Model A and B
3,False,No disagreement between Model A and B
4,False,No disagreement between Model A and B
5,False,No disagreement between Model A and B
6,False,No disagreement between Model A and B
7,False,No disagreement between Model A and B
8,False,No disagreement between Model A and B
9,False,No disagreement between Model A and B
10,False,No disagreement between Model A and B
11,False,No disagreement between Model A and B
12,False,No disagreement between Model A and B
13,False,No disagreement between Model A and B
14,False,No disagreement between Model A and B
15,False,No disagreement between Model A and B
16,False,No disagreement between Model A and B
17,False,No disagreement between Model A and B
18,False,No disagreement between Model A and B
19,False,No disagreement between Model A and B
20,False,No disagreement between Model A and B
21,False,No disagreement between Model A and B
22,False,No disagreement between Model A and B
23,False,No disagreement between Model A and B
24,False,No disagreement between Model A and B
25,False,No disagreement between Model A and B
26,False,No disagreement between Model A and B
27,False,No disagreement between Model A and B
28,False,Abstract too short or empty
29,False,No disagreement between Model A and B
30,False,No disagreement between Model A and B
31,False,No disagreement between Model A and B
32,False,No disagreement between Model A and B
33,True,No disagreement between Model A and B
34,True,No disagreement between Model A and B
35,False,No disagreement between Model A and B
36,False,No disagreement between Model A and B
37,False,No disagreement between Model A and B
38,False,No disagreement between Model A and B
39,False,No disagreement between Model A and B
40,False,No disagreement between Model A and B
41,False,No disagreement between Model A and B
42,False,No disagreement between Model A and B
43,False,No disagreement between Model A and B
44,False,No disagreement between Model A and B
45,False,No disagreement between Model A and B
46,False,No disagreement between Model A and B
47,False,No disagreement between Model A and B
48,False,No disagreement between Model A and B
49,False,No disagreement between Model A and B
50,False,No disagreement between Model A and B
51,False,No disagreement between Model A and B
52,False,No disagreement between Model A and B
53,False,No disagreement between Model A and B
54,False,No disagreement between Model A and B
55,False,No disagreement between Model A and B
56,False,No disagreement between Model A and B
57,False,No disagreement between Model A and B
58,False,No disagreement between Model A and B
59,False,No disagreement between Model A and B
60,False,No disagreement between Model A and B
61,False,Abstract too short or empty
62,False,No disagreement between Model A and B
63,False,No disagreement between Model A and B
64,False,Abstract too short or empty
65,False,No disagreement between Model A and B
66,False,No disagreement between Model A and B
67,False,No disagreement between Model A and B
68,False,No disagreement between Model A and B
69,False,No disagreement between Model A and B
70,False,No disagreement between Model A and B
71,False,No disagreement between Model A and B
72,False,No disagreement between Model A and B
73,False,No disagreement between Model A and B
74,False,Abstract too short or empty
75,False,No disagreement between Model A and B
76,False,No disagreement between Model A and B
77,False,No disagreement between Model A and B
78,False,No disagreement between Model A and B
79,False,No disagreement between Model A and B
80,False,Abstract too short or empty
81,False,No disagreement between Model A and B
82,False,No disagreement between Model A and B
83,False,No disagreement between Model A and B
84,False,Abstract too short or empty
85,False,No disagreement between Model A and B
86,False,No disagreement between Model A and B
87,False,No disagreement between Model A and B
88,False,No disagreement between Model A and B
89,False,Abstract too short or empty
90,False,No disagreement between Model A and B
91,False,No disagreement between Model A and B
92,False,Abstract too short or empty
93,False,No disagreement between Model A and B
94,False,No disagreement between Model A and B
95,False,No disagreement between Model A and B
96,False,No disagreement between Model A and B
97,False,No disagreement between Model A and B
98,False,No disagreement between Model A and B
99,False,No disagreement between Model A and B
100,False,No disagreement between Model A and B
101,False,No disagreement between Model A and B
102,False,No disagreement between Model A and B
103,False,No disagreement between Model A and B
104,False,No disagreement between Model A and B
105,False,No disagreement between Model A and B
106,False,No disagreement between Model A and B
107,False,No disagreement between Model A and B
108,False,Abstract too short or empty
109,False,Abstract too short or empty
110,False,No disagreement between Model A and B
111,False,Abstract too short or empty
112,False,No disagreement between Model A and B
113,False,No disagreement between Model A and B
114,False,No disagreement between Model A and B
115,False,No disagreement between Model A and B
116,False,No disagreement between Model A and B
117,False,No disagreement between Model A and B
118,False,No disagreement between Model A and B
119,False,No disagreement between Model A and B
120,False,No disagreement between Model A and B
121,False,No disagreement between Model A and B
122,False,No disagreement between Model A and B
123,False,No disagreement between Model A and B
124,False,No disagreement between Model A and B
125,False,No disagreement between Model A and B
126,False,No disagreement between Model A and B
127,False,No disagreement between Model A and B
128,False,No disagreement between Model A and B
129,False,No disagreement between Model A and B
130,False,No disagreement between Model A and B
131,True,No disagreement between Model A and B
132,False,No disagreement between Model A and B
133,False,No disagreement between Model A and B
134,False,No disagreement between Model A and B
135,False,No disagreement between Model A and B
136,False,No disagreement between Model A and B
137,False,No disagreement between Model A and B
138,False,No disagreement between Model A and B
139,False,No disagreement between Model A and B
140,False,No disagreement between Model A and B
141,True,No disagreement between Model A and B
142,False,No disagreement between Model A and B
143,False,No disagreement between Model A and B
144,False,No disagreement between Model A and B
145,False,No disagreement between Model A and B
146,False,No disagreement between Model A and B
147,False,No disagreement between Model A and B
148,False,No disagreement between Model A and B
149,False,No disagreement between Model A and B
150,False,No disagreement between Model A and B
151,False,No disagreement between Model A and B
152,False,No disagreement between Model A and B
153,False,No disagreement between Model A and B
154,False,No disagreement between Model A and B
155,False,No disagreement between Model A and B
156,False,No disagreement between Model A and B
157,False,No disagreement between Model A and B
158,False,No disagreement between Model A and B
159,False,No disagreement between Model A and B
160,False,No disagreement between Model A and B
161,False,No disagreement between Model A and B
